Group,Address
CRM22111593620_User,10.207.228.99/32
CRM22111593620_User,10.207.229.96/32
CRM22111593620_User,10.209.236.151/32
CRM22111593620_User,10.209.236.58/32
CRM22111593620_User,10.209.236.59/32
CRM22111593620_User,10.210.250.65/32
CRM22111593620_User,10.209.237.70/32
KT_Group_M_Mobile,10.231.32.0-10.231.39.255
KT_Group_Sports,10.231.18.0/24
KT_Group_Sports,10.231.19.0/24
CRM23010509197_User,10.200.220.106/32
CRM23010509197_User,10.200.202.87/32
CRM23010509197_User,10.200.217.19/32
CRM23010509197_User,10.200.218.22/32
CRM23010509197_User,10.207.228.141/32
CRM22111593617_User,10.214.145.51/32
CRM22111593617_User,10.214.144.56/32
CRM21022356322_User,10.231.36.142/32
CRM21022356322_User,10.231.36.145/32
CRM21022356322_User,10.231.36.148/32
CRM21022356322_User,10.231.36.184/32
CRM21022356322_User,10.231.37.137/32
KT_Group_IS,10.231.52.0/24
KT_Group_IS,10.231.53.0/24
KT_Group_IS,10.231.54.0/24
KT_Group_IS,10.231.55.0/24
KT_Group_IS,10.231.56.0/24
KT_Group_IS,10.231.57.0/24
KT_Group_IS,10.231.58.0/24
KT_Group_IS,10.231.59.0/24
KT_Group_IS,10.231.60.0/24
KT_Group_IS,10.231.61.0/24
CRM20022734345_whowho_MAC,10.231.4.110/32
CRM20022734345_whowho_MAC,10.231.4.170/32
CRM20022734345_whowho_MAC,10.231.4.114/32
CRM20022734345_whowho_MAC,10.231.4.15/32
CRM20022734345_whowho_MAC,10.231.4.113/32
CRM20022734345_whowho_MAC,10.231.4.117/32
CRM20022734345_whowho_MAC,10.231.4.143/32
CRM20022734345_whowho_MAC,10.231.4.111/32
CRM20031237859_KTPowertel,10.231.64.0/24
CRM20031237859_KTPowertel,10.231.65.0/24
CRM20031237859_KTPowertel,10.231.67.0/24
CRM20051557165_KTPowertel,10.231.64.0/24
CRM20051557165_KTPowertel,10.231.65.0/24
CRM20051557165_KTPowertel,10.231.67.0/24
Executive_Mobile_IP,10.200.196.0/24
Executive_Mobile_IP,10.200.56.0/23
Executive_Mobile_IP,10.214.150.0/23
Executive_Mobile_IP,10.214.88.0/24
Executive_Mobile_IP,10.225.26.0/24
Executive_Mobile_IP,10.200.236.0/22
Executive_Mobile_IP,10.212.242.0/23
Executive_Mobile_IP,10.206.254.0/23
Executive_Mobile_IP,10.204.246.0/23
Executive_Mobile_IP,10.209.254.0/23
Executive_Mobile_IP,10.207.226.0/23
